,Model,Accuracy
0,cnn_92,0.6812351543942993
1,cnn_74,0.6539984164687253
2,cnn_17,0.6878859857482186
3,cnn_82,0.6594615993665874
4,cnn_54,0.6789390340459224
5,cnn_67,0.7249406175771972
6,cnn_91,0.6452098178939034
7,cnn_61,0.6930324623911323
8,cnn_66,0.6565320665083135
9,cnn_84,0.6344418052256532
