,Model,Accuracy
0,cnn_92,0.6806809184481394
1,cnn_74,0.6890736342042756
2,cnn_17,0.6939034045922406
3,cnn_82,0.6844022169437847
4,cnn_54,0.6575613618368963
5,cnn_67,0.6777513855898654
6,cnn_91,0.6563737133808393
7,cnn_61,0.6939825811559779
8,cnn_66,0.6889944576405383
9,cnn_84,0.653285827395091
