,Model,Accuracy
0,cnn_92,0.6801266825019794
1,cnn_74,0.6699129057798892
2,cnn_17,0.6916072842438639
3,cnn_82,0.6701504354711005
4,cnn_54,0.6711797307996833
5,cnn_67,0.7024544734758511
6,cnn_91,0.6517022961203484
7,cnn_61,0.695882818685669
8,cnn_66,0.6711005542359462
9,cnn_84,0.6406175771971496
